timestamp,strategy_nav,buy_hold_nav,cash_nav
2026-07-22T11:19:59.559411+00:00,9990.00999000999,9990.00999000999,10000.0
2026-07-22T11:20:05.112503+00:00,9992.229239572214,9992.229239572214,10000.0
2026-07-22T11:21:09.879400+00:00,10000.87743125931,10000.87743125931,10000.0
2026-07-22T11:22:15.049423+00:00,10004.439404309334,10004.439404309334,10000.0
2026-07-22T11:23:19.255346+00:00,10006.175821190654,10006.175821190654,10000.0
2026-07-22T11:24:24.376815+00:00,10007.45990138901,10007.45990138901,10000.0
2026-07-22T11:25:29.575681+00:00,10007.56628964947,10007.56628964947,10000.0
2026-07-22T11:26:36.781017+00:00,10004.997090636145,10004.997090636145,10000.0
2026-07-22T11:27:42.207695+00:00,10000.837456528392,10000.837456528392,10000.0
2026-07-22T11:28:47.101823+00:00,9997.641393475831,9997.641393475831,10000.0
2026-07-22T11:29:51.426911+00:00,9999.272309581338,9999.272309581338,10000.0
2026-07-22T11:30:57.239057+00:00,9996.067420063424,9996.067420063424,10000.0
2026-07-22T11:32:02.380450+00:00,9999.070713266718,9999.070713266718,10000.0
2026-07-22T11:33:06.545026+00:00,10000.966950528538,10000.966950528538,10000.0
2026-07-22T11:34:11.652142+00:00,10002.244024642356,10002.244024642356,10000.0
2026-07-22T11:35:16.923750+00:00,9999.898828857036,9999.898828857036,10000.0
2026-07-22T11:36:21.512972+00:00,9999.133902869333,9999.133902869333,10000.0
2026-07-22T11:37:25.837054+00:00,9997.039926699752,9997.039926699752,10000.0
2026-07-22T11:38:30.122872+00:00,9993.237882006084,9993.237882006084,10000.0
2026-07-22T11:39:35.400900+00:00,9994.960707274133,9994.960707274133,10000.0
2026-07-22T11:40:40.076266+00:00,9989.876244326537,9989.876244326537,10000.0
2026-07-22T11:41:45.546393+00:00,9985.692119816707,9985.692119816707,10000.0
2026-07-22T11:42:49.794334+00:00,9977.267719247558,9977.267719247558,10000.0
2026-07-22T11:43:54.778023+00:00,9977.84245054581,9977.84245054581,10000.0
2026-07-22T11:44:59.272767+00:00,9977.593203797434,9977.593203797434,10000.0
2026-07-22T11:46:04.163469+00:00,9978.298050783505,9978.298050783505,10000.0
2026-07-22T11:47:08.891162+00:00,9982.734268285645,9982.734268285645,10000.0
2026-07-22T11:48:13.579567+00:00,9991.579802263612,9991.579802263612,10000.0
2026-07-22T11:49:18.399138+00:00,9993.126315671376,9993.126315671376,10000.0
2026-07-22T11:50:23.180228+00:00,9989.109076514902,9989.109076514902,10000.0
2026-07-22T11:51:27.557728+00:00,9992.004761776037,9992.004761776037,10000.0
2026-07-22T11:52:32.543924+00:00,9989.84590169023,9989.84590169023,10000.0
2026-07-22T11:53:37.519018+00:00,9990.807256427075,9990.807256427075,10000.0
2026-07-22T11:54:42.353991+00:00,9991.621739468883,9991.621739468883,10000.0
2026-07-22T11:55:47.261755+00:00,9991.750392982582,9991.750392982582,10000.0
2026-07-22T11:56:51.755491+00:00,9989.411330308316,9989.411330308316,10000.0
2026-07-22T11:57:55.954205+00:00,9991.6698684761,9991.6698684761,10000.0
2026-07-22T11:59:00.400456+00:00,9991.249907878726,9991.249907878726,10000.0
2026-07-22T12:00:05.668128+00:00,9991.31985489332,9991.31985489332,10000.0
2026-07-22T12:01:09.777203+00:00,9990.12705795646,9990.12705795646,10000.0
2026-07-22T12:02:15.055280+00:00,9985.968031597069,9985.968031597069,10000.0
2026-07-22T12:03:19.467952+00:00,9983.032933452992,9983.032933452992,10000.0
2026-07-22T12:04:24.025151+00:00,9981.428945018968,9981.428945018968,10000.0
2026-07-22T12:05:28.900785+00:00,9978.581127933036,9978.581127933036,10000.0
2026-07-22T12:06:33.328184+00:00,9977.619095932923,9977.619095932923,10000.0
2026-07-22T12:07:37.816205+00:00,9975.187166112832,9975.187166112832,10000.0
2026-07-22T12:08:42.988614+00:00,9970.441540315005,9970.441540315005,10000.0
2026-07-22T12:09:47.910610+00:00,9972.08428388641,9972.08428388641,10000.0
2026-07-22T12:10:52.494145+00:00,9973.62087218428,9973.62087218428,10000.0
2026-07-22T12:11:57.437514+00:00,9974.286740944026,9974.286740944026,10000.0
2026-07-22T12:13:01.687163+00:00,9975.052425511725,9975.052425511725,10000.0
2026-07-22T12:14:05.851177+00:00,9977.462149472793,9977.462149472793,10000.0
2026-07-22T12:15:10.189222+00:00,9979.21394767169,9979.21394767169,10000.0
2026-07-22T12:16:14.602082+00:00,9977.122064332498,9977.122064332498,10000.0
2026-07-22T12:17:18.820526+00:00,9973.047077758149,9973.047077758149,10000.0
2026-07-22T12:18:23.366480+00:00,9968.294750136269,9968.294750136269,10000.0
2026-07-22T12:19:28.660278+00:00,9967.250489315571,9967.250489315571,10000.0
2026-07-22T12:20:33.336537+00:00,9969.456009686,9969.456009686,10000.0
2026-07-22T12:21:38.331487+00:00,9966.716502143609,9966.716502143609,10000.0
2026-07-22T12:22:42.707955+00:00,9967.073877919498,9967.073877919498,10000.0
2026-07-22T12:23:47.532353+00:00,9967.168075389409,9967.168075389409,10000.0
2026-07-22T12:24:52.678969+00:00,9962.368574096417,9962.368574096417,10000.0
2026-07-22T12:25:57.328544+00:00,9961.606330992274,9961.606330992274,10000.0
2026-07-22T12:27:02.230622+00:00,9962.415959626873,9962.415959626873,10000.0
2026-07-22T12:28:08.367052+00:00,9966.680905046516,9966.680905046516,10000.0
2026-07-22T12:29:13.307076+00:00,9961.675087171961,9961.675087171961,10000.0
2026-07-22T12:30:18.785471+00:00,9963.997764769241,9963.997764769241,10000.0
2026-07-22T12:31:23.472947+00:00,9961.107418612768,9961.107418612768,10000.0
2026-07-22T12:32:28.602703+00:00,9965.971743677896,9965.971743677896,10000.0
2026-07-22T12:33:33.255268+00:00,9964.464370066209,9964.464370066209,10000.0
2026-07-22T12:34:38.190435+00:00,9960.483810600686,9960.483810600686,10000.0
2026-07-22T12:35:42.569393+00:00,9959.669034925977,9959.669034925977,10000.0
2026-07-22T12:36:47.366327+00:00,9963.739455661242,9963.739455661242,10000.0
2026-07-22T12:37:51.807359+00:00,9965.231313941582,9965.231313941582,10000.0
2026-07-22T12:38:56.820964+00:00,9962.590964179411,9962.590964179411,10000.0
2026-07-22T12:40:01.473277+00:00,9965.960292373231,9965.960292373231,10000.0
2026-07-22T12:41:05.998697+00:00,9968.320609622322,9968.320609622322,10000.0
2026-07-22T12:42:10.322954+00:00,9966.004093810994,9966.004093810994,10000.0
2026-07-22T12:43:14.762736+00:00,9966.399329369217,9966.399329369217,10000.0
2026-07-22T12:44:18.817503+00:00,9961.950504385903,9961.950504385903,10000.0
2026-07-22T12:45:24.178721+00:00,9960.947884772157,9960.947884772157,10000.0
2026-07-22T12:46:29.561355+00:00,9962.040437042366,9962.040437042366,10000.0
2026-07-22T12:47:33.787499+00:00,9965.16926542042,9965.16926542042,10000.0
2026-07-22T12:48:37.722668+00:00,9966.19515186002,9966.19515186002,10000.0
2026-07-22T12:49:41.958007+00:00,9955.73432525006,9955.73432525006,10000.0
2026-07-22T12:50:46.484514+00:00,9954.301319366163,9954.301319366163,10000.0
2026-07-22T12:51:51.354360+00:00,9956.062368235027,9956.062368235027,10000.0
2026-07-22T12:52:55.509797+00:00,9959.991193488011,9959.991193488011,10000.0
2026-07-22T12:54:00.712864+00:00,9963.215870009335,9963.215870009335,10000.0
2026-07-22T12:55:06.076869+00:00,9966.6134833254,9966.6134833254,10000.0
2026-07-22T12:56:10.771390+00:00,9953.179007238687,9953.179007238687,10000.0
2026-07-22T12:57:15.700955+00:00,9937.176087217907,9937.176087217907,10000.0
2026-07-22T12:58:20.727145+00:00,9947.631360316524,9947.631360316524,10000.0
2026-07-22T12:59:25.137906+00:00,9957.155400184314,9957.155400184314,10000.0
2026-07-22T13:00:29.559202+00:00,9956.325947390103,9956.325947390103,10000.0
2026-07-22T13:01:34.743741+00:00,9950.072759249333,9950.072759249333,10000.0
2026-07-22T13:02:38.735131+00:00,9953.2755102564,9953.2755102564,10000.0
2026-07-22T13:03:43.039225+00:00,9956.553677269045,9956.553677269045,10000.0
2026-07-22T13:04:47.760855+00:00,9957.66188216021,9957.66188216021,10000.0
2026-07-22T13:05:53.284516+00:00,9960.489375081179,9960.489375081179,10000.0
2026-07-22T13:06:57.267429+00:00,9959.460965974196,9959.460965974196,10000.0
2026-07-22T13:08:01.499561+00:00,9956.509330869614,9956.509330869614,10000.0
2026-07-22T13:09:06.119992+00:00,9962.426670493658,9962.426670493658,10000.0
2026-07-22T13:10:10.181616+00:00,9966.477838117366,9966.477838117366,10000.0
2026-07-22T13:11:14.145963+00:00,9965.855608769441,9965.855608769441,10000.0
2026-07-22T13:12:18.333736+00:00,9962.500628420326,9962.500628420326,10000.0
2026-07-22T13:13:22.540539+00:00,9965.106139205447,9965.106139205447,10000.0
2026-07-22T13:14:27.256673+00:00,9966.291603924887,9966.291603924887,10000.0
2026-07-22T13:15:31.554204+00:00,9962.899328988184,9962.899328988184,10000.0
2026-07-22T13:16:35.895886+00:00,9962.226494231647,9962.226494231647,10000.0
2026-07-22T13:17:40.783981+00:00,9961.890501602289,9961.890501602289,10000.0
2026-07-22T13:18:45.433604+00:00,9958.50766120413,9958.50766120413,10000.0
2026-07-22T13:19:49.663970+00:00,9962.999330913068,9962.999330913068,10000.0
2026-07-22T13:20:54.254845+00:00,9957.20867748373,9957.20867748373,10000.0
2026-07-22T13:21:58.801552+00:00,9959.74799384907,9959.74799384907,10000.0
2026-07-22T13:23:03.115013+00:00,9959.062458631166,9959.062458631166,10000.0
2026-07-22T13:24:07.459114+00:00,9954.097354761538,9954.097354761538,10000.0
2026-07-22T13:25:11.790226+00:00,9954.506593535152,9954.506593535152,10000.0
2026-07-22T13:26:15.780544+00:00,9960.010878461357,9960.010878461357,10000.0
2026-07-22T13:27:21.167635+00:00,9959.663481793968,9959.663481793968,10000.0
2026-07-22T13:28:26.036445+00:00,9960.781929286064,9960.781929286064,10000.0
2026-07-22T13:29:30.607138+00:00,9961.017455726525,9961.017455726525,10000.0
2026-07-22T13:30:34.900592+00:00,9971.932645119145,9971.932645119145,10000.0
2026-07-22T13:31:39.107078+00:00,9969.462673151067,9969.462673151067,10000.0
2026-07-22T13:32:43.333129+00:00,9968.722287877757,9968.722287877757,10000.0
2026-07-22T13:33:47.699259+00:00,9971.779961447068,9971.779961447068,10000.0
2026-07-22T13:34:51.937313+00:00,9986.224642729241,9986.224642729241,10000.0
2026-07-22T13:35:57.025641+00:00,9988.134376736294,9988.134376736294,10000.0
2026-07-22T13:37:01.745141+00:00,9992.06608180202,9992.06608180202,10000.0
2026-07-22T13:38:05.893333+00:00,10002.220677521253,10002.220677521253,10000.0
2026-07-22T13:39:10.525833+00:00,9988.861633827004,9988.861633827004,10000.0
2026-07-22T13:40:15.265939+00:00,9997.998995094349,9997.998995094349,10000.0
2026-07-22T13:41:19.491526+00:00,10005.718670416398,10005.718670416398,10000.0
2026-07-22T13:42:24.361566+00:00,10012.955777249546,10012.955777249546,10000.0
2026-07-22T13:43:28.483141+00:00,10018.4535674221,10018.4535674221,10000.0
2026-07-22T13:44:33.418451+00:00,10017.063648574614,10017.063648574614,10000.0
2026-07-22T13:45:37.398784+00:00,10025.261437563368,10025.261437563368,10000.0
2026-07-22T13:46:41.449086+00:00,10039.384715455268,10039.384715455268,10000.0
2026-07-22T13:47:46.252641+00:00,10032.150936633117,10032.150936633117,10000.0
2026-07-22T13:48:51.085869+00:00,10018.206521362754,10018.206521362754,10000.0
2026-07-22T13:49:55.597398+00:00,10029.654517490631,10029.654517490631,10000.0
2026-07-22T13:51:00.034913+00:00,10016.618903580773,10016.618903580773,10000.0
2026-07-22T13:52:04.858120+00:00,10022.266969220691,10022.266969220691,10000.0
2026-07-22T13:53:09.040803+00:00,10020.052075583022,10020.052075583022,10000.0
2026-07-22T13:54:13.578090+00:00,10025.114312238109,10025.114312238109,10000.0
2026-07-22T13:55:18.252877+00:00,10032.20509277182,10032.20509277182,10000.0
2026-07-22T13:56:22.541908+00:00,10025.702321225386,10025.702321225386,10000.0
2026-07-22T13:57:27.334034+00:00,10026.367914387965,10026.367914387965,10000.0
2026-07-22T13:58:32.722150+00:00,10033.311838278036,10033.311838278036,10000.0
2026-07-22T13:59:38.189843+00:00,10042.838188210093,10042.838188210093,10000.0
2026-07-22T14:00:42.207501+00:00,10043.081821780113,10043.081821780113,10000.0
2026-07-22T14:01:46.600118+00:00,10035.820215414316,10035.831801396715,10000.0
2026-07-22T14:02:50.759871+00:00,10037.933694043359,10037.945280025757,10000.0
